symbol,fundingTime,fundingRate,markPrice
BTCUSDT,1737820800001,0.00007782,104856.23635556
BTCUSDT,1737849600000,0.00008363,104701.90000000
BTCUSDT,1737878400000,0.00010000,104963.80000000
BTCUSDT,1737907200000,0.00008443,104920.00000000
BTCUSDT,1737936000000,0.00009084,102590.39013333
BTCUSDT,1737964800000,0.00003712,98996.40000000
BTCUSDT,1737993600000,0.00000098,101075.16971111
BTCUSDT,1738022400000,0.00010000,102034.61963704
BTCUSDT,1738051200000,0.00003714,102748.81021481
BTCUSDT,1738080000000,0.00009848,102732.49048889
BTCUSDT,1738108800000,0.00010000,101296.47861481
BTCUSDT,1738137600000,0.00010000,102723.30000000
BTCUSDT,1738166400000,0.00009949,101942.29171111
BTCUSDT,1738195200000,0.00007590,103698.20000000
BTCUSDT,1738224000000,0.00010000,105085.20000000
BTCUSDT,1738252800000,0.00009499,105521.20000000
BTCUSDT,1738281600000,0.00001225,104677.00000000
BTCUSDT,1738310400000,0.00010000,104167.68758519
BTCUSDT,1738339200000,0.00010000,105417.40000000
BTCUSDT,1738368000000,0.00008098,102379.70000000
BTCUSDT,1738396800000,0.00005369,102127.00000000
BTCUSDT,1738425600000,0.00005968,102033.72678519
BTCUSDT,1738454400001,0.00005824,100603.60000000
BTCUSDT,1738483200000,0.00003380,99595.81932593
BTCUSDT,1738512000000,-0.00000861,99298.60000000
BTCUSDT,1738540800000,0.00010000,97665.05852593
BTCUSDT,1738569600000,0.00010000,95278.94922222
BTCUSDT,1738598400000,0.00004845,98799.90000000
BTCUSDT,1738627200000,0.00002612,101293.70000000
BTCUSDT,1738656000001,0.00006800,98428.05392593
BTCUSDT,1738684800000,0.00004138,99308.65560920
BTCUSDT,1738713600001,-0.00000461,97709.90000000
BTCUSDT,1738742400001,0.00004774,97816.06753333
BTCUSDT,1738771200000,0.00001610,98063.30000000
BTCUSDT,1738800000001,0.00002186,96558.04809630
BTCUSDT,1738828800001,-0.00000238,98164.90000000
BTCUSDT,1738857600000,0.00005903,97285.60000000
BTCUSDT,1738886400000,0.00007983,96515.00000000
BTCUSDT,1738915200000,0.00006989,96714.18992337
BTCUSDT,1738944000000,0.00005167,98249.70000000
BTCUSDT,1738972800000,-0.00004100,96456.01788889
BTCUSDT,1739001600000,0.00001137,96153.40000000
BTCUSDT,1739030400000,0.00000324,95798.35988889
BTCUSDT,1739059200000,0.00003873,96411.90000000
BTCUSDT,1739088000000,0.00009600,97019.90000000
BTCUSDT,1739116800000,0.00002839,96443.79991852
BTCUSDT,1739145600000,0.00001802,96425.48585185
BTCUSDT,1739174400000,0.00009176,97393.10000000
BTCUSDT,1739203200000,0.00007457,97187.70000000
BTCUSDT,1739232000000,0.00004218,97384.53994815
BTCUSDT,1739260800000,0.00007090,98230.70305185
BTCUSDT,1739289600000,-0.00002446,96963.30000000
BTCUSDT,1739318400000,0.00001298,95731.40000000
BTCUSDT,1739347200000,0.00004899,96032.10000000
BTCUSDT,1739376000001,0.00004960,95768.97002963
BTCUSDT,1739404800001,0.00010000,97828.71390370
BTCUSDT,1739433600000,0.00004117,96022.13023704
BTCUSDT,1739462400001,0.00000805,95950.00000000
BTCUSDT,1739491200000,0.00004100,96560.60000000
BTCUSDT,1739520000001,0.00005510,96894.37109630
BTCUSDT,1739548800000,0.00007093,96886.60000000
BTCUSDT,1739577600000,0.00000055,97449.10151111
BTCUSDT,1739606400000,0.00003297,97312.50000000
BTCUSDT,1739635200000,0.00003735,97594.40000000
BTCUSDT,1739664000000,0.00003390,97537.90000000
BTCUSDT,1739692800000,0.00000182,97207.40000000
BTCUSDT,1739721600000,0.00003799,96859.04847692
BTCUSDT,1739750400000,0.00006239,96073.53976296
BTCUSDT,1739779200000,0.00006397,96031.56637778
BTCUSDT,1739808000000,0.00002009,95610.58525185
BTCUSDT,1739836800000,0.00009488,95743.10000000
BTCUSDT,1739865600000,0.00010000,95416.39865926
BTCUSDT,1739894400000,0.00010000,95510.84027407
BTCUSDT,1739923200000,0.00007007,95621.90000000
BTCUSDT,1739952000000,0.00007779,95640.40000000
BTCUSDT,1739980800000,0.00008960,95895.50000000
BTCUSDT,1740009600000,0.00002420,96605.40166667
BTCUSDT,1740038400000,0.00003269,96825.70000000
BTCUSDT,1740067200000,0.00007346,96860.90000000
BTCUSDT,1740096000001,0.00000123,98252.90000000
BTCUSDT,1740124800000,0.00002286,98128.40000000
BTCUSDT,1740153600000,-0.00000097,98057.70000000
BTCUSDT,1740182400000,0.00010000,96131.40247407
BTCUSDT,1740211200000,0.00006466,96241.70000000
BTCUSDT,1740240000000,0.00002318,96552.60310370
BTCUSDT,1740268800000,0.00004112,96503.38967407
BTCUSDT,1740297600000,0.00003140,96455.97020000
BTCUSDT,1740326400000,0.00001478,95392.57762963
BTCUSDT,1740355200000,-0.00002970,96218.40000000
BTCUSDT,1740384000000,0.00006881,95838.02390370
