coin,fundingRate,premium,time
BTC,0.0000125,-0.0001823202,1737799200004
BTC,0.0000125,-0.000301225,1737802800178
BTC,0.0000125,-0.0003636755,1737806400055
BTC,0.0000125,-0.0003086798,1737810000018
BTC,0.0000125,-0.0002084609,1737813600025
BTC,0.0000125,-0.000142698,1737817200077
BTC,0.0000125,-0.0000338716,1737820800123
BTC,0.0000125,-0.0003037601,1737824400019
BTC,0.0000125,-0.0002562515,1737828000019
BTC,0.0000125,-0.0000563989,1737831600012
BTC,0.0000125,0.0000271202,1737835200020
BTC,0.0000125,0.0000759871,1737838800050
BTC,0.0000125,0.0001046229,1737842400084
BTC,0.0000125,0.0000926815,1737846000013
BTC,0.0000125,0.0001388532,1737849600049
BTC,0.0000125,0.0002298582,1737853200070
BTC,0.0000125,0.0002482174,1737856800092
BTC,0.0000125,0.0002215965,1737860400009
BTC,0.0000125,0.0001962028,1737864000073
BTC,0.0000125,0.0000222987,1737867600031
BTC,0.0000125,0.0000714994,1737871200010
BTC,0.0000125,0.0001217618,1737874800006
BTC,0.0000125,0.0000659782,1737878400013
BTC,0.0000125,0.0000339405,1737882000058
BTC,0.0000125,-0.0001336885,1737885600049
BTC,0.0000125,-0.000179428,1737889200045
BTC,0.0000125,-0.0000766015,1737892800037
BTC,0.0000125,-0.0001920233,1737896400001
BTC,0.0000125,0.0000471196,1737900000063
BTC,0.0000125,-0.000064833,1737903600007
BTC,0.0000125,0.0001019084,1737907200022
BTC,0.0000125,-0.0001013773,1737910800047
BTC,0.0000125,-0.0000561947,1737914400064
BTC,0.0000125,-0.0002823659,1737918000128
BTC,0.0000125,-0.0003202604,1737921600027
BTC,0.0000125,-0.0002638492,1737925200127
BTC,0.0000125,-0.0003425174,1737928800038
BTC,0.0000125,-0.0003506974,1737932400004
BTC,0.0000125,-0.000318544,1737936000096
BTC,0.0000125,-0.0003774728,1737939600002
BTC,0.0000021639,-0.0004826887,1737943200014
BTC,-0.0000047093,-0.0005376742,1737946800039
BTC,0.0000125,-0.0003868254,1737950400034
BTC,-0.0000082361,-0.0005658888,1737954000026
BTC,0.0000020192,-0.0004838468,1737957600085
BTC,-0.0000020552,-0.0005164417,1737961200113
BTC,0.0000125,-0.00019024,1737964800096
BTC,0.0000125,-0.0000539597,1737968400068
BTC,0.0000125,0.0000055604,1737972000009
BTC,0.0000125,-0.0000518151,1737975600036
BTC,0.0000125,0.0001718061,1737979200167
BTC,0.0000125,0.0004513766,1737982800052
BTC,0.000035634,0.000785072,1737986400084
BTC,0.0000187516,0.0006500126,1737990000046
BTC,0.0000125,0.0004537214,1737993600043
BTC,0.0000125,0.0000973841,1737997200007
BTC,0.0000125,-0.0001097844,1738000800065
BTC,0.0000125,-0.0000396699,1738004400066
BTC,0.0000125,-0.000063356,1738008000063
BTC,0.0000125,0.0002232591,1738011600049
BTC,0.0000125,0.000388585,1738015200044
BTC,0.0000125,0.0004568723,1738018800014
BTC,0.0000125,0.0003722282,1738022400068
BTC,0.0000125,0.0002414167,1738026000099
BTC,0.0000125,0.0001617417,1738029600005
BTC,0.0000125,0.0001404174,1738033200051
BTC,0.0000125,-0.0000265358,1738036800067
BTC,0.0000125,0.0001159859,1738040400027
BTC,0.0000125,0.0002102548,1738044000104
BTC,0.0000125,0.0001037116,1738047600002
BTC,0.0000125,-0.000076693,1738051200084
BTC,0.0000125,-0.0001299507,1738054800021
BTC,0.0000125,-0.0000669939,1738058400111
BTC,0.0000125,-0.0000851415,1738062000117
BTC,0.0000125,-0.0001173523,1738065600058
BTC,0.0000125,-0.0001338382,1738069200027
BTC,0.0000125,-0.0001293652,1738072800085
BTC,0.0000125,-0.0003627164,1738076400042
BTC,0.0000125,-0.0002965625,1738080000030
BTC,0.0000125,-0.000072759,1738083600049
BTC,0.0000125,-0.0000689643,1738087200022
BTC,0.0000125,-0.0002441289,1738090800074
BTC,0.0000125,-0.0002782362,1738094400042
BTC,0.0000125,-0.0002131359,1738098000036
BTC,0.0000125,-0.000185714,1738101600019
